"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Vauxhall Astra",3195,28408,2005,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"BMW 3 SERIES",4695,82600,2010,3,"Diesel","Saloon","2.0L","Manual",4,5
"Volkswagen Golf",2500,131000,2001,NA,"Petrol","Hatchback","2.8L","Manual",5,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Nissan Micra",2395,96195,2006,NA,"Petrol","Hatchback","1.4L","Automatic",5,5
"Hyundai i20",5799,69550,2016,NA,"Petrol","Coupe","1.2L","Manual",3,5
"Vauxhall Corsa",1850,88000,2009,4,"Petrol","Hatchback","1.2L","Manual",3,5
"Volkswagen Golf",4450,96866,2011,2,"Diesel","Hatchback","1.6L","Automatic",5,5
"BMW 3 Series",9599,89890,2013,5,"Petrol","Saloon","2.0L","Manual",4,5
"Honda Civic",1190,138000,2006,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"Ford Fiesta",995,107767,2005,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Renault Clio",2895,70100,2012,2,"Diesel","Hatchback","1.5L","Manual",3,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Volkswagen Polo",2595,102000,2010,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",1290,119000,2004,6,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Clio",4895,81000,2013,6,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW 3 Series",1999,137724,2006,NA,"Petrol","Coupe","2.5L","Automatic",2,4
"Vauxhall Corsa",12699,40105,2021,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Mazda Mazda3",6550,82000,2014,NA,"Diesel","Saloon","2.2L","Manual",4,5
